Country,Rank,PDS,Permalink,Opportunity ID,"Gift Margin (Mar 2026, USD)",Tag Action
UK,87,Tea - Afternoon,https://groupon.co.uk/deals/the-runnymede-on-thames,006Uj00000YtCY1IAN,660.49,OK
UK,88,Cinema / Movie Theater,https://groupon.co.uk/deals/vue-4-13,006TU00000K3jptYAB,659.28,ADD top-gifts-v2
UK,89,Spa - Day Pass,https://groupon.co.uk/deals/linden-hall-hotel-golf-spa-2,006Uj00000V5yzNIAR,652.9,OK
UK,90,Massage - Thai,https://groupon.co.uk/deals/layana-london-thaimassage,006Uj00000OIwuAIAT,647.7,OK
UK,91,Spa - Day Pass,https://groupon.co.uk/deals/the-barn-hotel-and-spa-1-1,006Uj00000KF69dIAD,638.72,OK
UK,92,Spa - Day Pass,https://groupon.co.uk/deals/oulton-hall-hotel-2-1,006Uj00000TsemCIAR,635.85,OK
UK,93,Spa - Day Pass,https://groupon.co.uk/deals/the-hertfordshire-golf-and-country-club,006Uj00000MHnhCIAT,622.06,OK
UK,94,Helicopter,https://groupon.co.uk/deals/adventure-001-7-10,006Uj00000C4UmzIAF,620.42,OK
UK,95,Massage - Choice of - In Spa,https://groupon.co.uk/deals/the-alchemy-hub-uk-3,006Uj00000Y0uGLIAZ,620.19,OK
UK,96,Tour - Farm,https://groupon.co.uk/deals/pennybridge-alpacas-4,006C0000013OzQUIA0,618.81,OK
UK,97,Spa - Day Pass,https://groupon.co.uk/deals/slaley-hall-hotel-spa-and-golf-resort-2-1,006Uj00000Tsg4pIAB,615.66,OK
UK,98,Japanese,https://groupon.co.uk/deals/shogun-sushi-bar-teppanyaki,006Hr00001MV8WbIAL,610.08,OK
UK,99,Tea - Afternoon,https://groupon.co.uk/deals/mytton-fold-hotel-3,006Uj000009VNKwIAO,608.41,OK
UK,100,Spa - Day Pass,https://groupon.co.uk/deals/beauty-and-melody-spa-marble-arch-13,0063c00001RBxGkAAL,606.27,OK
US,1,Membership Club,https://groupon.com/deals/n-sams-club-membership-packages-18,006Uj00000JeGO5IAN,39426.0,OK
US,2,PC Software,https://groupon.com/deals/world-wide-electronic-software-delivery-llc-mycodes24,006Uj00000DkimaIAB,24029.11,REMOVE not-top-gifts
US,3,Bowling,https://groupon.com/deals/bowlmor-lanes-nat-bowlero-corp-2024-fall-b,006Uj000009IGHLIA4,14438.2,OK
US,4,Bowling,https://groupon.com/deals/lucky-strike-corp-2024-bowling-fall,006Uj000009IQwYIAW,10383.6,OK
US,5,Amusement Park,https://groupon.com/deals/gl-sea-world-san-antonio-11,006Uj00000N2uP3IAJ,7768.55,OK
US,6,Waterpark,https://groupon.com/deals/island-waterpark-at-showboat-atlantic-city-2,006Uj00000L42ToIAJ,7678.78,OK
US,7,Tour - Boat,https://groupon.com/deals/gl-the-catalina-flyer-6,006Uj000002U9slIAC,7620.49,OK
US,8,Bowling,https://groupon.com/deals/amf-bowling-2024-fall,006Uj000009IC5ZIAW,7547.19,OK
US,9,Amusement Park,https://groupon.com/deals/gl-universal-orlando-59,0063c00001Fmui6AAB,7335.57,REMOVE not-top-gifts
US,10,Drug - Diet / Weight Loss,https://groupon.com/deals/fancymeds-1,006Uj00000YiQ9hIAF,7215.53,OK
US,11,Arcade,https://groupon.com/deals/chuck-e-cheese-2024,006Uj000001jBWbIAM,6963.99,OK
US,12,Drug - Diet / Weight Loss,https://groupon.com/deals/leanerrx-8,006Uj000007zq2TIAQ,6549.88,OK
US,13,Cinema / Movie Theater,https://groupon.com/deals/regal-cinemas-premiere-ticket-2023,0063c00001Mysz2AAB,6243.02,OK
US,14,Spa - Day Pass,https://groupon.com/deals/king-spa-and-sauna-chicago-35,0063c00001GRSVQAA5,5935.06,OK
US,15,PC Software,https://groupon.com/deals/office-2024-standard-lifetime-windows,006Uj00000HlMePIAV,5687.98,OK
US,16,Cinema / Movie Theater,https://groupon.com/deals/amc-theaters-yellow-tickets-7-24,006Uj00000A9a3JIAR,5468.22,OK
US,17,Zoo / Animal Park,https://groupon.com/deals/wildlife-world-zoo-aquarium-18,0063c00001IsnjMAAR,5456.3,REMOVE not-top-gifts
US,18,Bath House / Hammam,https://groupon.com/deals/king-spa-sauna-6,006C000001AlVmqIAF,5173.73,OK
US,19,Amusement Park,https://groupon.com/deals/gl-universal-studios-hollywood-1-14,0063c00001MxvG4AAJ,4890.71,OK
US,20,Zoo / Animal Park,https://groupon.com/deals/san-antonio-zoo-2024,006Uj000003nNrOIAU,4751.86,OK
US,21,Membership Club,https://groupon.com/deals/n-costco-membership,0063c00001P2lCzAAJ,4672.03,REMOVE not-top-gifts
US,22,Oil Change,https://groupon.com/deals/jiffy-lube-atlantic-coast-enterprises-2,0063c00001GQ3ytAAD,4434.6,OK
US,23,Spa - Day Pass,https://groupon.com/deals/spa-world-26,006C000001BjSMrIAN,4372.78,REMOVE not-top-gifts
US,24,Photo Shoot - Studio,https://groupon.com/deals/jcpenney-portraits-1552-marketplace,0063c00001FkCFJAA3,4298.75,REMOVE not-top-gifts
US,25,Groupon Gift Card - Voucher,https://groupon.com/deals/na-gift-card-membership-1,006Uj00000XtGU9IAN,4290.0,OK
US,26,Groupon Gift Card - Voucher,https://groupon.com/deals/na-gift-card-gwl,006Uj00000VrdpNIAR,4150.0,OK
US,27,Cinema / Movie Theater,https://groupon.com/deals/amc-theaters-black-tickets-7-24,006Uj00000A9Pr4IAF,3827.85,OK
US,28,Spa - Day Pass,https://groupon.com/deals/gangnam-spa-1,0063c00001ItcM2AAJ,3758.13,OK
US,29,Drug - Diet / Weight Loss,https://groupon.com/deals/cosmeticrx-9,006Uj000007WEILIA4,3719.53,OK
US,30,Spa - Hotel,https://groupon.com/deals/the-carillon-hotel-spa-6,0063c00001EqJ43AAF,3704.97,OK
US,31,High-End / Sport Car,https://groupon.com/deals/velocity-driving-24-25,006Uj00000C2CvpIAF,3699.19,OK
US,32,Skiing / Snowboarding - Recreational,https://groupon.com/deals/big-snow,006Uj00000EzCllIAF,3547.95,OK
US,33,PC Software,https://groupon.com/deals/world-office-standard-2024,006Uj00000K2ziDIAR,3490.74,ADD top-gifts-v2
US,34,Spa - Day Pass,https://groupon.com/deals/the-spa-club-3,0063c00001P0aj8AAB,3406.07,OK
US,35,Steakhouse,https://groupon.com/deals/black-angus-steakhouse,0063c00001I0hAzAAJ,3338.54,OK
US,36,Oil Change,https://groupon.com/deals/valvoline-instant-oil-change-86-orlando,006C000000zkFxHIAU,3232.0,OK
US,37,Obstacle Course,https://groupon.com/deals/gl-spartan-race-2026,006Uj00000XUNLyIAP,3201.95,ADD top-gifts-v2
